Time(ms), ID, Bus, Data
232704182,241,0,0A1705400000
232705752,193,0,401D7CBE0331CDCA
232705979,197,0,C38B18DA0258B7B9
232706196,209,0,002F3FD10CF400
232706447,456,0,03FF000000003C01
232706683,485,0,5CEF3E10000001D5
232706932,489,0,0FFC000E00008000
232707167,298,0,10E0706C00001091
232707408,508,0,0232FF7E0035F243
232707577,528,0,060001FD
232707768,566,0,04D25A0000
232707884,568,0,6B
232708121,989,0,0000009F8802048A
232708349,1280,0,303001F4
232709137,499,0,80BC00
232711338,170,0,2CB92CB900534700
232711588,171,0,0000000000000000
232711793,190,0,0E140005ABE9
232711953,199,0,43F0F776
232712196,201,0,8000002D00011800
232712323,211,0,2CB6
232712554,417,0,00004100000000
232712776,390,0,04005D0800017F
232712893,419,0,00
232713134,493,0,01A9000000001B8A
232713346,426,0,08662694663000
232713516,495,0,00000000
232713752,451,0,06630662FF200002
232713993,452,0,2762C073020007FF
232714197,241,0,161500400000
232714388,453,0,2CB92CB9B25C
232714601,500,0,000000000000
232714755,647,0,820001
232715862,193,0,501D7CBE1331CDCA
232716086,197,0,D38B18DA1258B7B9
232716299,209,0,40327FCD0CF300
232716430,389,0,1819
232716658,454,0,349D349D00C32D89
232716891,309,0,02001362210D1311
232717133,456,0,43FF0000FFFF3C00
232717371,485,0,5CEF3E30000001F5
232717485,568,0,6B
232717687,711,0,033FBABF7000
232717926,844,0,F9AC000000190FFC
232718101,866,0,00000000
232718319,995,0,C7C76CA56901C7
232718470,554,0,8D8802
232723584,170,0,2CB72CB702534800
232723836,171,0,0000000000000000
232724040,190,0,02140005ABEC
232724198,199,0,43F0F776
232724444,201,0,8000002000011800
232724571,211,0,2CB8
232724775,241,0,221500400000
232724997,390,0,04005D08000180
232725238,493,0,01A9000000001B8A
232725411,495,0,00000000
232725644,193,0,601D7CBE2331CDCA
232725865,197,0,E38B18DA2258B7B9
232726081,209,0,8030BFCE0CF200
232726328,456,0,83FF0000FFFE3BFF
232726562,485,0,5CEF3E5000000215
232726794,311,0,0F0196AF02F31009
232727042,489,0,0FFC000E00008000
232727283,562,0,0000200800120022
232727397,568,0,6B
232728388,189,0,01CC13F1CC00FF
232728614,1907,0,00280000000000
232728768,479,0,800200
232729015,501,0,0C0C000400000900
232729259,481,0,000000000010F0
232729504,961,0,0765F78000000000
232732473,308,0,02A8A592
232734201,241,0,3E1500400000
232735602,193,0,701D7CBE3331CDCA
232735826,197,0,F38B18DA3258B7B9
232736042,209,0,C02EFFCF0CF100
232736274,170,0,2CB82CB804534600
232736524,171,0,0000000000000000
232736729,190,0,06140005ABEB
232736892,199,0,43F0F776
232737132,201,0,8000002700011800
232737259,211,0,2CB6
232737511,313,0,0000000000000000
232737642,389,0,1819
232737864,390,0,04005D08000180
232738094,417,0,00004100000000
232738322,454,0,349D349D00032D8C
232738438,419,0,00
232738682,456,0,C3FF0000FFFD3BFE
232738891,426,0,08662694663000
232739127,485,0,5CEF3E7000000235
232739359,451,0,06630662FF300001
232739601,493,0,01A9000000001B8A
232739837,452,0,4A62C073040005FE
232740010,495,0,00000000
232740204,453,0,2CB82CB8B25C
232740361,499,0,C0FC00
232740572,500,0,000000000000
232740687,568,0,6B
232740841,647,0,C10001
232741032,840,0,0000000000
232741271,707,0,066306620000CA00
232741463,842,0,0000000000
232741711,560,0,0000300000001FFD
232741951,1017,0,00000000510C621D
232742156,711,0,033FBBBF8000
232742291,1019,0,0019
232742519,1922,0,00570000000000
232742750,1020,0,4813135B5B205B5B
232744226,241,0,0A1500400000
232745922,193,0,401D7CBE0331CDCA
232746149,197,0,C38B18DA0258B7B9
232746365,209,0,002F3FD10CF400
232746615,456,0,03FF000000003C01
232746852,485,0,5CEF3E10000001D5
232747102,489,0,0FFC000E00008000
232747301,532,0,060463F96C35
232747414,568,0,6B
232747642,761,0,00010008000200
232747869,810,0,0A31B73565C4CEBA
232748384,381,0,222442FF0000
232748695,170,0,2CB92CB906534400
232748902,190,0,0A140005ABEA
232749154,171,0,0000000000000000
232749400,201,0,8000002A00011800
232749559,199,0,43F0F776
232749799,493,0,01A9000000001B8A
232749933,211,0,2CB7
232750103,495,0,00000000
232750327,390,0,04005D08000180
232753548,189,0,01CC13F1CC00FF
232753700,479,0,800200
232753948,501,0,0C0C000400000900
232754206,241,0,161500400000
232755867,193,0,501D7CBE1331CDCA
232756092,197,0,D38B18DA1258B7B9
232756305,209,0,402E7FD10CF300
232756433,389,0,1819
232756664,454,0,349D349D00432D8B
232756909,456,0,43FF0000FFFF3C00
232757133,481,0,000000000114E0
232757369,485,0,5CEF3E30000001F5
232757607,508,0,0225FF830035021D
232757781,528,0,00000000
232757893,568,0,6B
232761146,171,0,0000000000000000
232761309,199,0,43F0F776
232761439,211,0,2CB8
232761670,170,0,2CB92CB900534700
232761892,390,0,04005D08000180
232762097,190,0,0E140005ABE9
232762342,201,0,8000002D00011800
232762572,417,0,00004100000000
232762814,493,0,01A9000000001B8A
232762928,419,0,00
232763101,495,0,00000000
232763313,426,0,08662694663000
232763557,451,0,06630662FF000000
232763793,452,0,6D62C073060003FD
232763986,453,0,2CB92CB9B25C
232764209,500,0,000000000000
232764410,241,0,221705400000
232764563,647,0,000001
232765694,193,0,601D7CBE2331CDCA
232765920,197,0,E38B18DA2258B7B9
232766134,209,0,802FBFCF0CF200
232766381,456,0,83FF0000FFFE3BFF
232766615,485,0,5CEF3E5000000215
232766865,489,0,0FFC000E00008000
232767019,499,0,003C00
232767136,568,0,6B
232767337,711,0,033FBABF8000
232767575,844,0,E1A9000000190FFC
232767746,866,0,00000000
232768348,564,0,0000000000
232773597,170,0,2CB92CB902534600
